Cesta,Lokacija,Smer,Št. vozil [N/h],Hitrost [km/h],Razmik [s],Zasedenost [%],Čas,Stanje
,M. Sobota - Hodoš366671.70.401.06.2026 09:55:00Normalen promet,M. Sobota - Hodoš,36,66,71.7,0.4,01.06.2026 09:55:00,Normalen promet
R1-232,Murska Sobota severMartjanci - Murska Sobota sever660243.428.201.06.2026 10:00:00Zgoščen promet,Martjanci - Murska Sobota sever,660,24,3.4,28.2,01.06.2026 10:00:00,Zgoščen promet
,Murska Sobota - Martjanci444397.39.501.06.2026 10:00:00Povečan promet,Murska Sobota - Martjanci,444,39,7.3,9.5,01.06.2026 10:00:00,Povečan promet
R1-234,DoleDole - Dramlje1805519.42.901.06.2026 09:55:00Normalen promet,Dole - Dramlje,180,55,19.4,2.9,01.06.2026 09:55:00,Normalen promet
,Dramlje - Dole2285314.73.901.06.2026 09:55:00Normalen promet,Dramlje - Dole,228,53,14.7,3.9,01.06.2026 09:55:00,Normalen promet
R1-234,LokarjeDole - Šentjur372479.87.401.06.2026 10:00:00Normalen promet,Dole - Šentjur,372,47,9.8,7.4,01.06.2026 10:00:00,Normalen promet
,Šentjur - Dole3004311.67.001.06.2026 10:00:00Normalen promet,Šentjur - Dole,300,43,11.6,7.0,01.06.2026 10:00:00,Normalen promet
R1-235,PetanjciPetanjci - Radenci2045816.93.201.06.2026 10:00:00Normalen promet,Petanjci - Radenci,204,58,16.9,3.2,01.06.2026 10:00:00,Normalen promet
,Radenci - Petanjci1445227.02.201.06.2026 10:00:00Normalen promet,Radenci - Petanjci,144,52,27.0,2.2,01.06.2026 10:00:00,Normalen promet
R1-235,MS KrogM.Sobota (Gaj) - Priklj. M. Sobo1205427.72.201.06.2026 10:00:00Normalen promet,M.Sobota (Gaj) - Priklj. M. Sobo,120,54,27.7,2.2,01.06.2026 10:00:00,Normalen promet
,Priklj. M.Sobota - M. Sobota (Ga1325826.51.901.06.2026 10:00:00Normalen promet,Priklj. M.Sobota - M. Sobota (Ga,132,58,26.5,1.9,01.06.2026 10:00:00,Normalen promet
R1-235,TropovciM. Sobota (Gaj) - Petanjci2525813.64.101.06.2026 10:00:00Normalen promet,M. Sobota (Gaj) - Petanjci,252,58,13.6,4.1,01.06.2026 10:00:00,Normalen promet
,Petanjci - M. Sobota (Gaj)2886111.94.001.06.2026 10:00:00Normalen promet,Petanjci - M. Sobota (Gaj),288,61,11.9,4.0,01.06.2026 10:00:00,Normalen promet
R1-235,MS VZH obvoznicaMS jug - MS vzhod1203022.74.601.06.2026 09:55:00Normalen promet,MS jug - MS vzhod,120,30,22.7,4.6,01.06.2026 09:55:00,Normalen promet
,MS vzhod - MS jug1923918.55.101.06.2026 09:55:00Normalen promet,MS vzhod - MS jug,192,39,18.5,5.1,01.06.2026 09:55:00,Normalen promet
R1-235,MS GajMurska Sobota - Radenci1446624.91.801.06.2026 10:00:00Normalen promet,Murska Sobota - Radenci,144,66,24.9,1.8,01.06.2026 10:00:00,Normalen promet
,Radenci - Murska Sobota1807920.41.901.06.2026 10:00:00Normalen promet,Radenci - Murska Sobota,180,79,20.4,1.9,01.06.2026 10:00:00,Normalen promet
R1-240,Volčja DragaŠempeter - Volčja Draga3245610.24.601.06.2026 10:00:00Normalen promet,Šempeter - Volčja Draga,324,56,10.2,4.6,01.06.2026 10:00:00,Normalen promet
,Volčja Draga - Šempeter528546.27.601.06.2026 10:00:00Povečan promet,Volčja Draga - Šempeter,528,54,6.2,7.6,01.06.2026 10:00:00,Povečan promet
R2-402,PodsabotinGonjače - Solkan846339.91.001.06.2026 10:00:00Normalen promet,Gonjače - Solkan,84,63,39.9,1.0,01.06.2026 10:00:00,Normalen promet
R2-402,MP NebloMT Neblo - Neblo1685920.42.101.06.2026 10:00:00Normalen promet,MT Neblo - Neblo,168,59,20.4,2.1,01.06.2026 10:00:00,Normalen promet
,Neblo - MT Neblo605557.80.801.06.2026 10:00:00Normalen promet,Neblo - MT Neblo,60,55,57.8,0.8,01.06.2026 10:00:00,Normalen promet
R2-402,Šmartno v BrdihDobrovo - Gonjače724555.01.401.06.2026 10:00:00Normalen promet,Dobrovo - Gonjače,72,45,55.0,1.4,01.06.2026 10:00:00,Normalen promet
,Gonjače - Dobrovo1204540.02.201.06.2026 10:00:00Normalen promet,Gonjače - Dobrovo,120,45,40.0,2.2,01.06.2026 10:00:00,Normalen promet
R2-403,Škofja Lokacenter - Ljubljanska c.780383.816.801.06.2026 10:00:00Gost promet,center - Ljubljanska c.,780,38,3.8,16.8,01.06.2026 10:00:00,Gost promet
,Ljubljanska c. - center600405.212.701.06.2026 10:00:00Zgoščen promet,Ljubljanska c. - center,600,40,5.2,12.7,01.06.2026 10:00:00,Zgoščen promet
R2-403,BačaBača - Kneža00999.90.001.06.2026 09:55:00Ni prometa,Bača - Kneža,0,0,999.9,0.0,01.06.2026 09:55:00,Ni prometa
,Kneža - Bača486741.00.501.06.2026 09:55:00Normalen promet,Kneža - Bača,48,67,41.0,0.5,01.06.2026 09:55:00,Normalen promet
R2-403,ŽeleznikiBača - Železniki605058.21.101.06.2026 10:00:00Normalen promet,Bača - Železniki,60,50,58.2,1.1,01.06.2026 10:00:00,Normalen promet
,Železniki - Bača605367.30.901.06.2026 10:00:00Normalen promet,Železniki - Bača,60,53,67.3,0.9,01.06.2026 10:00:00,Normalen promet
R2-403,BukovicaČešnjica - Škofja Loka1925114.73.301.06.2026 10:00:00Normalen promet,Češnjica - Škofja Loka,192,51,14.7,3.3,01.06.2026 10:00:00,Normalen promet
,Škofja Loka - Češnjica725145.61.301.06.2026 10:00:00Normalen promet,Škofja Loka - Češnjica,72,51,45.6,1.3,01.06.2026 10:00:00,Normalen promet
R2-404,RečicaIlirska Bistrica - Podgrad1446535.81.901.06.2026 10:00:00Normalen promet,Ilirska Bistrica - Podgrad,144,65,35.8,1.9,01.06.2026 10:00:00,Normalen promet
,Podgrad - Ilirska Bistrica1445724.62.201.06.2026 10:00:00Normalen promet,Podgrad - Ilirska Bistrica,144,57,24.6,2.2,01.06.2026 10:00:00,Normalen promet
R2-404,DrskovčeIlirska Bistrica - Pivka2404715.34.301.06.2026 10:00:00Normalen promet,Ilirska Bistrica - Pivka,240,47,15.3,4.3,01.06.2026 10:00:00,Normalen promet
,Pivka - Ilirska Bistrica1206229.61.501.06.2026 10:00:00Normalen promet,Pivka - Ilirska Bistrica,120,62,29.6,1.5,01.06.2026 10:00:00,Normalen promet
R2-405,BujeFamlje - Ribnica2482185.90.201.06.2026 10:00:00Normalen promet,Famlje - Ribnica,24,82,185.9,0.2,01.06.2026 10:00:00,Normalen promet
,Ribnica - Famlje726751.91.201.06.2026 10:00:00Normalen promet,Ribnica - Famlje,72,67,51.9,1.2,01.06.2026 10:00:00,Normalen promet
R2-406,AnkaranAnkaran - Križ. Moretini3006111.44.001.06.2026 10:00:00Normalen promet,Ankaran - Križ. Moretini,300,61,11.4,4.0,01.06.2026 10:00:00,Normalen promet
,Križ. Moretini - Ankaran3125711.14.701.06.2026 10:00:00Normalen promet,Križ. Moretini - Ankaran,312,57,11.1,4.7,01.06.2026 10:00:00,Normalen promet
R2-406,LazaretAnkaran - MP Lazaret484776.80.801.06.2026 10:00:00Normalen promet,Ankaran - MP Lazaret,48,47,76.8,0.8,01.06.2026 10:00:00,Normalen promet
,MP Lazaret - Ankaran484071.11.001.06.2026 10:00:00Normalen promet,MP Lazaret - Ankaran,48,40,71.1,1.0,01.06.2026 10:00:00,Normalen promet
R2-407,HorjulHorjul - Vrhnika604726.81.201.06.2026 10:00:00Normalen promet,Horjul - Vrhnika,60,47,26.8,1.2,01.06.2026 10:00:00,Normalen promet
,Vrhnika - Horjul605953.30.901.06.2026 10:00:00Normalen promet,Vrhnika - Horjul,60,59,53.3,0.9,01.06.2026 10:00:00,Normalen promet
R2-408,ZavratecLogatec - Žiri2461127.20.201.06.2026 10:00:00Normalen promet,Logatec - Žiri,24,61,127.2,0.2,01.06.2026 10:00:00,Normalen promet
,Žiri - Logatec2464205.80.301.06.2026 10:00:00Normalen promet,Žiri - Logatec,24,64,205.8,0.3,01.06.2026 10:00:00,Normalen promet
R2-408,LogatecLogatec - Žiri845539.31.701.06.2026 10:00:00Normalen promet,Logatec - Žiri,84,55,39.3,1.7,01.06.2026 10:00:00,Normalen promet
,Žiri - Logatec724847.21.601.06.2026 10:00:00Normalen promet,Žiri - Logatec,72,48,47.2,1.6,01.06.2026 10:00:00,Normalen promet
R2-408,ŽiriTrebija - Žiri963833.02.301.06.2026 09:50:00Normalen promet,Trebija - Žiri,96,38,33.0,2.3,01.06.2026 09:50:00,Normalen promet
,Žiri - Trebija1083934.22.401.06.2026 09:50:00Normalen promet,Žiri - Trebija,108,39,34.2,2.4,01.06.2026 09:50:00,Normalen promet
R2-409,ZapoljeLogatec - Vrhnika1926218.43.101.06.2026 10:00:00Normalen promet,Logatec - Vrhnika,192,62,18.4,3.1,01.06.2026 10:00:00,Normalen promet
,Vrhnika - Logatec3005512.55.001.06.2026 10:00:00Normalen promet,Vrhnika - Logatec,300,55,12.5,5.0,01.06.2026 10:00:00,Normalen promet
R2-409,GorjancAC Brezovica - LJ (Vič)468486.98.101.06.2026 09:55:00Povečan promet,AC Brezovica - LJ (Vič),468,48,6.9,8.1,01.06.2026 09:55:00,Povečan promet
,LJ (Vič) - AC Brezovica432468.58.001.06.2026 09:55:00Normalen promet,LJ (Vič) - AC Brezovica,432,46,8.5,8.0,01.06.2026 09:55:00,Normalen promet
R2-409,SenožečeRazdrto - Senožeče1205936.71.901.06.2026 10:00:00Normalen promet,Razdrto - Senožeče,120,59,36.7,1.9,01.06.2026 10:00:00,Normalen promet
,Senožeče - Razdrto1325826.92.201.06.2026 10:00:00Normalen promet,Senožeče - Razdrto,132,58,26.9,2.2,01.06.2026 10:00:00,Normalen promet
R2-409,BrezovicaAC Brezovica - Brezovica000.00.011.04.2026 18:45:00Ni podatka,AC Brezovica - Brezovica,0,0,0.0,0.0,11.04.2026 18:45:00,Ni podatka
,Brezovica - AC Brezovica000.00.011.04.2026 18:45:00Ni podatka,Brezovica - AC Brezovica,0,0,0.0,0.0,11.04.2026 18:45:00,Ni podatka
R2-409,Drenov GričBrezovica - Vrhnika312539.75.401.06.2026 09:55:00Normalen promet,Brezovica - Vrhnika,312,53,9.7,5.4,01.06.2026 09:55:00,Normalen promet
,Vrhnika - Brezovica432516.77.701.06.2026 09:55:00Povečan promet,Vrhnika - Brezovica,432,51,6.7,7.7,01.06.2026 09:55:00,Povečan promet
R2-409,RavbarkomandaPlanina - Ravbarkomanda486384.30.601.06.2026 10:00:00Normalen promet,Planina - Ravbarkomanda,48,63,84.3,0.6,01.06.2026 10:00:00,Normalen promet
,Ravbarkomanda - Planina846944.61.001.06.2026 10:00:00Normalen promet,Ravbarkomanda - Planina,84,69,44.6,1.0,01.06.2026 10:00:00,Normalen promet
R2-409,PetrinjeKastelec - Kozina487671.90.501.06.2026 10:00:00Normalen promet,Kastelec - Kozina,48,76,71.9,0.5,01.06.2026 10:00:00,Normalen promet
,Kozina - Kastelec607354.70.601.06.2026 10:00:00Normalen promet,Kozina - Kastelec,60,73,54.7,0.6,01.06.2026 10:00:00,Normalen promet
R2-409,ŠkocjanDivača - Matavun847445.50.901.06.2026 10:00:00Normalen promet,Divača - Matavun,84,74,45.5,0.9,01.06.2026 10:00:00,Normalen promet
,Matavun - Divača726553.50.801.06.2026 10:00:00Normalen promet,Matavun - Divača,72,65,53.5,0.8,01.06.2026 10:00:00,Normalen promet
R2-409,GrčarevecKalce - Planina1446419.22.401.06.2026 10:00:00Normalen promet,Kalce - Planina,144,64,19.2,2.4,01.06.2026 10:00:00,Normalen promet
,Planina - Kalce844628.22.001.06.2026 10:00:00Normalen promet,Planina - Kalce,84,46,28.2,2.0,01.06.2026 10:00:00,Normalen promet
R2-409,PostojnaPostojna - Razdrto2765212.24.401.06.2026 10:00:00Normalen promet,Postojna - Razdrto,276,52,12.2,4.4,01.06.2026 10:00:00,Normalen promet
,Razdrto - Postojna2284815.13.901.06.2026 10:00:00Normalen promet,Razdrto - Postojna,228,48,15.1,3.9,01.06.2026 10:00:00,Normalen promet
R2-409,DivačaDivača - Senožeče3667104.10.601.06.2026 09:55:00Normalen promet,Divača - Senožeče,36,67,104.1,0.6,01.06.2026 09:55:00,Normalen promet
,Senožeče - Divača726954.40.901.06.2026 09:55:00Normalen promet,Senožeče - Divača,72,69,54.4,0.9,01.06.2026 09:55:00,Normalen promet
R2-409,KačiceKozina - Matavun4889104.60.401.06.2026 09:55:00Normalen promet,Kozina - Matavun,48,89,104.6,0.4,01.06.2026 09:55:00,Normalen promet
,Matavun - Kozina608967.30.501.06.2026 09:55:00Normalen promet,Matavun - Kozina,60,89,67.3,0.5,01.06.2026 09:55:00,Normalen promet
R2-409,DekaniKoper - Rižana1445424.92.201.06.2026 10:00:00Normalen promet,Koper - Rižana,144,54,24.9,2.2,01.06.2026 10:00:00,Normalen promet
,Rižana - Koper725347.61.101.06.2026 10:00:00Normalen promet,Rižana - Koper,72,53,47.6,1.1,01.06.2026 10:00:00,Normalen promet
R2-410,TenetišeGolnik - Kokrica2645212.94.201.06.2026 09:55:00Normalen promet,Golnik - Kokrica,264,52,12.9,4.2,01.06.2026 09:55:00,Normalen promet
,Kokrica - Golnik1685519.72.501.06.2026 09:55:00Normalen promet,Kokrica - Golnik,168,55,19.7,2.5,01.06.2026 09:55:00,Normalen promet
R2-410,TržičBistrica - Tržič396388.68.501.06.2026 10:00:00Povečan promet,Bistrica - Tržič,396,38,8.6,8.5,01.06.2026 10:00:00,Povečan promet
,Tržič - Bistrica480376.610.601.06.2026 10:00:00Povečan promet,Tržič - Bistrica,480,37,6.6,10.6,01.06.2026 10:00:00,Povečan promet
R2-410,SeničnoTržič - Golnik000.00.004.10.2024 15:20:00Ni podatka,Tržič - Golnik,0,0,0.0,0.0,04.10.2024 15:20:00,Ni podatka
R2-410,KokricaKokrica - Kranj420498.36.601.06.2026 10:00:00Povečan promet,Kokrica - Kranj,420,49,8.3,6.6,01.06.2026 10:00:00,Povečan promet
,Kranj - Kokrica2884711.64.601.06.2026 10:00:00Normalen promet,Kranj - Kokrica,288,47,11.6,4.6,01.06.2026 10:00:00,Normalen promet
R2-411,NakloNaklo - Polica468507.38.301.06.2026 10:00:00Povečan promet,Naklo - Polica,468,50,7.3,8.3,01.06.2026 10:00:00,Povečan promet
,Polica - Naklo408477.37.501.06.2026 10:00:00Normalen promet,Polica - Naklo,408,47,7.3,7.5,01.06.2026 10:00:00,Normalen promet
R2-411,Dobro PoljeČrnivec- Gobovce485343.00.901.06.2026 09:50:00Normalen promet,Črnivec- Gobovce,48,53,43.0,0.9,01.06.2026 09:50:00,Normalen promet
,Gobovce - Črnivec485343.00.901.06.2026 09:50:00Normalen promet,Gobovce - Črnivec,48,53,43.0,0.9,01.06.2026 09:50:00,Normalen promet
R2-411,PodbrezjeRadovljica - Kranj1444621.22.801.06.2026 10:00:00Normalen promet,Radovljica - Kranj,144,46,21.2,2.8,01.06.2026 10:00:00,Normalen promet
R2-412,Kranj (Labore)Iskra - Labore000.00.014.12.2023 05:50:00Ni podatka,Iskra - Labore,0,0,0.0,0.0,14.12.2023 05:50:00,Ni podatka
,Labore - Iskra000.00.014.12.2023 05:50:00Ni podatka,Labore - Iskra,0,0,0.0,0.0,14.12.2023 05:50:00,Ni podatka
R2-412,Kranj (sejem)Iskra - Kidričeva660534.911.501.06.2026 10:00:00Zgoščen promet,Iskra - Kidričeva,660,53,4.9,11.5,01.06.2026 10:00:00,Zgoščen promet
,Kidričeva - Iskra612505.210.901.06.2026 10:00:00Zgoščen promet,Kidričeva - Iskra,612,50,5.2,10.9,01.06.2026 10:00:00,Zgoščen promet
R2-412,Kranj (Zlato polje)Kidričeva c. - Polica504546.48.601.06.2026 10:00:00Povečan promet,Kidričeva c. - Polica,504,54,6.4,8.6,01.06.2026 10:00:00,Povečan promet
,Polica - Kidričeva c.600425.313.301.06.2026 10:00:00Povečan promet,Polica - Kidričeva c.,600,42,5.3,13.3,01.06.2026 10:00:00,Povečan promet
R2-413,ValburgaVodice - Zbilje2284513.53.701.06.2026 10:00:00Normalen promet,Vodice - Zbilje,228,45,13.5,3.7,01.06.2026 10:00:00,Normalen promet
,Zbilje - Vodice1804618.63.201.06.2026 10:00:00Normalen promet,Zbilje - Vodice,180,46,18.6,3.2,01.06.2026 10:00:00,Normalen promet
R2-413,ŽejeMoste - Vodice348469.47.601.06.2026 10:00:00Normalen promet,Moste - Vodice,348,46,9.4,7.6,01.06.2026 10:00:00,Normalen promet
,Vodice - Moste360568.46.401.06.2026 10:00:00Normalen promet,Vodice - Moste,360,56,8.4,6.4,01.06.2026 10:00:00,Normalen promet
R2-413,KrižKamnik - Moste3125012.05.301.06.2026 10:00:00Normalen promet,Kamnik - Moste,312,50,12.0,5.3,01.06.2026 10:00:00,Normalen promet
,Moste - Kamnik348458.66.401.06.2026 10:00:00Normalen promet,Moste - Kamnik,348,45,8.6,6.4,01.06.2026 10:00:00,Normalen promet
R2-414,LazeKamnik - Tuhinj844950.71.501.06.2026 10:00:00Normalen promet,Kamnik - Tuhinj,84,49,50.7,1.5,01.06.2026 10:00:00,Normalen promet
,Tuhinj - Kamnik1205927.51.801.06.2026 10:00:00Normalen promet,Tuhinj - Kamnik,120,59,27.5,1.8,01.06.2026 10:00:00,Normalen promet
R2-414,LočicaKamnik - Ločica724444.51.801.06.2026 09:50:00Normalen promet,Kamnik - Ločica,72,44,44.5,1.8,01.06.2026 09:50:00,Normalen promet
,Ločica - Kamnik604480.21.201.06.2026 09:50:00Normalen promet,Ločica - Kamnik,60,44,80.2,1.2,01.06.2026 09:50:00,Normalen promet
R2-415,KrtinaAC - Moravče1327725.31.301.06.2026 10:00:00Normalen promet,AC - Moravče,132,77,25.3,1.3,01.06.2026 10:00:00,Normalen promet
,Moravče - AC1926614.02.401.06.2026 10:00:00Normalen promet,Moravče - AC,192,66,14.0,2.4,01.06.2026 10:00:00,Normalen promet
R2-415,KandršeIzlake - Moravče965031.61.501.06.2026 10:00:00Normalen promet,Izlake - Moravče,96,50,31.6,1.5,01.06.2026 10:00:00,Normalen promet
,Moravče - Izlake3646119.20.601.06.2026 10:00:00Normalen promet,Moravče - Izlake,36,46,119.2,0.6,01.06.2026 10:00:00,Normalen promet
R2-416,Črni PotokIvančna Gorica - Litija365799.50.401.06.2026 10:00:00Normalen promet,Ivančna Gorica - Litija,36,57,99.5,0.4,01.06.2026 10:00:00,Normalen promet
,Litija - Ivančna Gorica3655144.40.701.06.2026 10:00:00Normalen promet,Litija - Ivančna Gorica,36,55,144.4,0.7,01.06.2026 10:00:00,Normalen promet
R2-416,LitijaLitija - Šmartno2644713.04.701.06.2026 10:00:00Normalen promet,Litija - Šmartno,264,47,13.0,4.7,01.06.2026 10:00:00,Normalen promet
,Šmartno - Litija1445021.72.701.06.2026 10:00:00Normalen promet,Šmartno - Litija,144,50,21.7,2.7,01.06.2026 10:00:00,Normalen promet
R2-417,MoravčeGabrovka - Mala Koštrevnica12496.70.101.06.2026 09:55:00Povečan promet,Gabrovka - Mala Koštrevnica,12,49,6.7,0.1,01.06.2026 09:55:00,Povečan promet
,Mala Koštrevnica - Gabrovka365571.20.501.06.2026 09:55:00Normalen promet,Mala Koštrevnica - Gabrovka,36,55,71.2,0.5,01.06.2026 09:55:00,Normalen promet
R2-418,ŠkocjanŠkocjan - Zbure2454159.30.301.06.2026 10:00:00Normalen promet,Škocjan - Zbure,24,54,159.3,0.3,01.06.2026 10:00:00,Normalen promet
,Zbure - Škocjan844640.624.001.06.2026 10:00:00Povečan promet,Zbure - Škocjan,84,46,40.6,24.0,01.06.2026 10:00:00,Povečan promet
R2-418,DramaAC - Šentjernej1325326.52.301.06.2026 10:00:00Normalen promet,AC - Šentjernej,132,53,26.5,2.3,01.06.2026 10:00:00,Normalen promet
,Šentjernej - AC1085629.21.601.06.2026 10:00:00Normalen promet,Šentjernej - AC,108,56,29.2,1.6,01.06.2026 10:00:00,Normalen promet
R2-418,ZbureMokronog - Zbure365872.90.501.06.2026 09:55:00Normalen promet,Mokronog - Zbure,36,58,72.9,0.5,01.06.2026 09:55:00,Normalen promet
,Zbure - Mokronog4858114.10.601.06.2026 09:55:00Normalen promet,Zbure - Mokronog,48,58,114.1,0.6,01.06.2026 09:55:00,Normalen promet
R2-418,Dobruška vasDobruška vas - Škocjan1206333.31.501.06.2026 09:55:00Normalen promet,Dobruška vas - Škocjan,120,63,33.3,1.5,01.06.2026 09:55:00,Normalen promet
,Škocjan - Dobruška vas1086036.61.501.06.2026 09:55:00Normalen promet,Škocjan - Dobruška vas,108,60,36.6,1.5,01.06.2026 09:55:00,Normalen promet
R2-419,PotokNM Drska - Straža1445421.72.101.06.2026 10:00:00Normalen promet,NM Drska - Straža,144,54,21.7,2.1,01.06.2026 10:00:00,Normalen promet
,Straža - NM Drska2285014.94.101.06.2026 10:00:00Normalen promet,Straža - NM Drska,228,50,14.9,4.1,01.06.2026 10:00:00,Normalen promet
R2-419,Mokro PoljeRatež - Šentjernej964942.41.401.06.2026 10:00:00Normalen promet,Ratež - Šentjernej,96,49,42.4,1.4,01.06.2026 10:00:00,Normalen promet
,Šentjernej - Ratež484969.80.701.06.2026 10:00:00Normalen promet,Šentjernej - Ratež,48,49,69.8,0.7,01.06.2026 10:00:00,Normalen promet
R2-419,Malo Mraševo 2Kostanjevica - Križaj966238.31.301.06.2026 09:55:00Normalen promet,Kostanjevica - Križaj,96,62,38.3,1.3,01.06.2026 09:55:00,Normalen promet
,Križaj - Kostanjevica965531.91.501.06.2026 09:55:00Normalen promet,Križaj - Kostanjevica,96,55,31.9,1.5,01.06.2026 09:55:00,Normalen promet
R2-419,Župeča vasČatež ob Savi - Križaj725761.41.001.06.2026 09:55:00Normalen promet,Čatež ob Savi - Križaj,72,57,61.4,1.0,01.06.2026 09:55:00,Normalen promet
,Križaj - Čatež ob Savi846948.00.901.06.2026 09:55:00Normalen promet,Križaj - Čatež ob Savi,84,69,48.0,0.9,01.06.2026 09:55:00,Normalen promet
R2-419,RatežNovo mesto - Ratež1205929.81.601.06.2026 10:05:00Normalen promet,Novo mesto - Ratež,120,59,29.8,1.6,01.06.2026 10:05:00,Normalen promet
,Ratež - Novo mesto1447124.41.801.06.2026 10:05:00Normalen promet,Ratež - Novo mesto,144,71,24.4,1.8,01.06.2026 10:05:00,Normalen promet
R2-419,ŠentjernejKostanjevica - Šentjernej1444628.62.501.06.2026 09:55:00Normalen promet,Kostanjevica - Šentjernej,144,46,28.6,2.5,01.06.2026 09:55:00,Normalen promet
,Šentjernej - Kostanjevica845430.91.201.06.2026 09:55:00Normalen promet,Šentjernej - Kostanjevica,84,54,30.9,1.2,01.06.2026 09:55:00,Normalen promet
R2-419,Dolenje PoljeSoteska - Straža485660.50.701.06.2026 10:00:00Normalen promet,Soteska - Straža,48,56,60.5,0.7,01.06.2026 10:00:00,Normalen promet
,Straža - Soteska725052.11.101.06.2026 10:00:00Normalen promet,Straža - Soteska,72,50,52.1,1.1,01.06.2026 10:00:00,Normalen promet
R2-420,MostecBrežice - Dobova1324721.02.701.06.2026 09:55:00Normalen promet,Brežice - Dobova,132,47,21.0,2.7,01.06.2026 09:55:00,Normalen promet
,Dobova - Brežice2285215.53.501.06.2026 09:55:00Normalen promet,Dobova - Brežice,228,52,15.5,3.5,01.06.2026 09:55:00,Normalen promet
R2-420,MP RigonceDobova - MP844441.71.601.06.2026 10:00:00Normalen promet,Dobova - MP,84,44,41.7,1.6,01.06.2026 10:00:00,Normalen promet
,Dobova - MP844441.71.601.06.2026 10:00:00Normalen promet,Dobova - MP,84,44,41.7,1.6,01.06.2026 10:00:00,Normalen promet
R2-421,SemičRučetna vas - Štrekljevec1086225.41.701.06.2026 09:55:00Normalen promet,Ručetna vas - Štrekljevec,108,62,25.4,1.7,01.06.2026 09:55:00,Normalen promet
,Štrekljevec - Ručetna vas607154.70.601.06.2026 09:55:00Normalen promet,Štrekljevec - Ručetna vas,60,71,54.7,0.6,01.06.2026 09:55:00,Normalen promet
R2-421,OsojnikJugorje - Semič00999.90.001.06.2026 09:55:00Ni prometa,Jugorje - Semič,0,0,999.9,0.0,01.06.2026 09:55:00,Ni prometa
,Semič - Jugorje487568.40.701.06.2026 09:55:00Normalen promet,Semič - Jugorje,48,75,68.4,0.7,01.06.2026 09:55:00,Normalen promet
R2-422,SenovoBrestanica - Senovo2045017.53.101.06.2026 10:00:00Normalen promet,Brestanica - Senovo,204,50,17.5,3.1,01.06.2026 10:00:00,Normalen promet
,Senovo - Brestanica2404913.43.801.06.2026 10:00:00Normalen promet,Senovo - Brestanica,240,49,13.4,3.8,01.06.2026 10:00:00,Normalen promet
R2-422,Veliki KamenPodsreda - Senovo3631140.10.901.06.2026 09:55:00Normalen promet,Podsreda - Senovo,36,31,140.1,0.9,01.06.2026 09:55:00,Normalen promet
,Senovo - Podsreda965059.91.701.06.2026 09:55:00Normalen promet,Senovo - Podsreda,96,50,59.9,1.7,01.06.2026 09:55:00,Normalen promet
R2-423,JelcaKozje - Šentjur1261362.30.101.06.2026 10:00:00Normalen promet,Kozje - Šentjur,12,61,362.3,0.1,01.06.2026 10:00:00,Normalen promet
,Šentjur - Kozje00999.90.001.06.2026 10:00:00Ni prometa,Šentjur - Kozje,0,0,999.9,0.0,01.06.2026 10:00:00,Ni prometa
R2-423,KozjeKozje-Podsreda727237.61.001.06.2026 09:55:00Normalen promet,Kozje-Podsreda,72,72,37.6,1.0,01.06.2026 09:55:00,Normalen promet
,Podsreda-Kozje606652.60.701.06.2026 09:55:00Normalen promet,Podsreda-Kozje,60,66,52.6,0.7,01.06.2026 09:55:00,Normalen promet
R2-423,MP Bistrica ob SotliBistrica ob Sotli - Polje3627252.32.301.06.2026 10:00:00Normalen promet,Bistrica ob Sotli - Polje,36,27,252.3,2.3,01.06.2026 10:00:00,Normalen promet
,Polje - Bistrica ob Sotli3630171.91.401.06.2026 10:00:00Normalen promet,Polje - Bistrica ob Sotli,36,30,171.9,1.4,01.06.2026 10:00:00,Normalen promet
R2-423,ČrnolicaČrnolica - Šentjur1204617.82.201.06.2026 10:00:00Normalen promet,Črnolica - Šentjur,120,46,17.8,2.2,01.06.2026 10:00:00,Normalen promet
,Šentjur - Črnolica396478.77.001.06.2026 10:00:00Normalen promet,Šentjur - Črnolica,396,47,8.7,7.0,01.06.2026 10:00:00,Normalen promet
R2-424,PodgorjePlanina - Sevnica2482224.00.201.06.2026 09:55:00Normalen promet,Planina - Sevnica,24,82,224.0,0.2,01.06.2026 09:55:00,Normalen promet
,Sevnica - Planina727238.30.901.06.2026 09:55:00Normalen promet,Sevnica - Planina,72,72,38.3,0.9,01.06.2026 09:55:00,Normalen promet
R2-424,DobjeČrnolica - Dežno3649127.90.501.06.2026 10:00:00Normalen promet,Črnolica - Dežno,36,49,127.9,0.5,01.06.2026 10:00:00,Normalen promet
,Dežno - Črnolica964835.11.601.06.2026 10:00:00Normalen promet,Dežno - Črnolica,96,48,35.1,1.6,01.06.2026 10:00:00,Normalen promet
R2-425,PesjePesje - Velenje492476.98.601.06.2026 10:00:00Povečan promet,Pesje - Velenje,492,47,6.9,8.6,01.06.2026 10:00:00,Povečan promet
,Velenje - Pesje552505.99.501.06.2026 10:00:00Povečan promet,Velenje - Pesje,552,50,5.9,9.5,01.06.2026 10:00:00,Povečan promet
R2-425,ŠoštanjŠoštanj - Velenje2645813.83.701.06.2026 10:00:00Normalen promet,Šoštanj - Velenje,264,58,13.8,3.7,01.06.2026 10:00:00,Normalen promet
