Cesta,Lokacija,Smer,Št. vozil [N/h],Hitrost [km/h],Razmik [s],Zasedenost [%],Čas,Stanje
AC-A1,Goli vrh ACsmer KP (po)1687114.44.201.06.2026 10:00:00Normalen promet,smer KP (po),168,71,14.4,4.2,01.06.2026 10:00:00,Normalen promet
,smer KP (v)5881036.05.101.06.2026 10:00:00Povečan promet,smer KP (v),588,103,6.0,5.1,01.06.2026 10:00:00,Povečan promet
,smer KP (p)4921258.23.201.06.2026 10:00:00Normalen promet,smer KP (p),492,125,8.2,3.2,01.06.2026 10:00:00,Normalen promet
,smer LJ (v)7561064.57.901.06.2026 10:00:00Povečan promet,smer LJ (v),756,106,4.5,7.9,01.06.2026 10:00:00,Povečan promet
,smer LJ (p)3721229.62.601.06.2026 10:00:00Normalen promet,smer LJ (p),372,122,9.6,2.6,01.06.2026 10:00:00,Normalen promet
AC-A1,Počivališče Ravneizvoz iz KP483786.21.101.06.2026 10:00:00Normalen promet,izvoz iz KP,48,37,86.2,1.1,01.06.2026 10:00:00,Normalen promet
,izvoz iz LJ000.00.001.06.2026 10:00:00Ni podatka,izvoz iz LJ,0,0,0.0,0.0,01.06.2026 10:00:00,Ni podatka
,uvoz proti KP000.00.001.06.2026 10:00:00Ni podatka,uvoz proti KP,0,0,0.0,0.0,01.06.2026 10:00:00,Ni podatka
AC-A1,Priključek Kastelecizvoz iz KP363469.20.801.06.2026 10:00:00Normalen promet,izvoz iz KP,36,34,69.2,0.8,01.06.2026 10:00:00,Normalen promet
AC-A1,Razcep Srminizvoz iz LJ123172.20.701.06.2026 10:00:00Normalen promet,izvoz iz LJ,12,31,72.2,0.7,01.06.2026 10:00:00,Normalen promet
,uvoz proti Škofijam1225182.50.901.06.2026 10:00:00Normalen promet,uvoz proti Škofijam,12,25,182.5,0.9,01.06.2026 10:00:00,Normalen promet
AC-A1,Priključek Črni Kalizvoz iz KP606266.71.001.06.2026 10:00:00Normalen promet,izvoz iz KP,60,62,66.7,1.0,01.06.2026 10:00:00,Normalen promet
,izvoz iz LJ2455157.50.301.06.2026 10:00:00Normalen promet,izvoz iz LJ,24,55,157.5,0.3,01.06.2026 10:00:00,Normalen promet
AC-A1,Zima ACsmer LJ (v)7201035.18.201.06.2026 10:00:00Povečan promet,smer LJ (v),720,103,5.1,8.2,01.06.2026 10:00:00,Povečan promet
,smer LJ (p)6001225.34.201.06.2026 10:00:00Povečan promet,smer LJ (p),600,122,5.3,4.2,01.06.2026 10:00:00,Povečan promet
,smer MB (v)7081054.77.901.06.2026 10:00:00Povečan promet,smer MB (v),708,105,4.7,7.9,01.06.2026 10:00:00,Povečan promet
,smer MB (p)4201308.22.701.06.2026 10:00:00Normalen promet,smer MB (p),420,130,8.2,2.7,01.06.2026 10:00:00,Normalen promet
AC-A1,Celje Center - Vzhodsmer LJ (v)8041004.59.701.06.2026 10:00:00Povečan promet,smer LJ (v),804,100,4.5,9.7,01.06.2026 10:00:00,Povečan promet
,smer LJ (p)6481195.74.501.06.2026 10:00:00Povečan promet,smer LJ (p),648,119,5.7,4.5,01.06.2026 10:00:00,Povečan promet
,smer MB (v)6841005.29.001.06.2026 10:00:00Povečan promet,smer MB (v),684,100,5.2,9.0,01.06.2026 10:00:00,Povečan promet
,smer MB (p)5641276.63.801.06.2026 10:00:00Povečan promet,smer MB (p),564,127,6.6,3.8,01.06.2026 10:00:00,Povečan promet
AC-A1,Arja vas ACsmer LJ (v)972873.314.801.06.2026 10:00:00Zgoščen promet,smer LJ (v),972,87,3.3,14.8,01.06.2026 10:00:00,Zgoščen promet
,smer LJ (p)6841235.64.601.06.2026 10:00:00Povečan promet,smer LJ (p),684,123,5.6,4.6,01.06.2026 10:00:00,Povečan promet
,smer MB (v)924943.812.001.06.2026 10:00:00Zgoščen promet,smer MB (v),924,94,3.8,12.0,01.06.2026 10:00:00,Zgoščen promet
,smer MB (p)6121176.14.501.06.2026 10:00:00Povečan promet,smer MB (p),612,117,6.1,4.5,01.06.2026 10:00:00,Povečan promet
