Cesta,Lokacija,Smer,Št. vozil [N/h],Hitrost [km/h],Razmik [s],Zasedenost [%],Čas,Stanje
AC-A1,Čebulovica AC,Gabrk - Senožeče (v),0,0,0.0,0.0,04.06.2026 23:10:00,Ni podatka
AC-A1,Čebulovica AC,Senožeče - Gabrk (p),72,148,61.3,0.4,04.06.2026 23:10:00,Normalen promet
AC-A1,Čebulovica AC,Senožeče - Gabrk (v),228,110,15.8,2.7,04.06.2026 23:10:00,Normalen promet
AC-A1,Čebulovica AC,Gabrk - Senožeče (p),0,0,0.0,0.0,04.06.2026 23:15:00,Ni podatka
AC-A1,Čebulovica AC,Gabrk - Senožeče (v),0,0,0.0,0.0,04.06.2026 23:15:00,Ni podatka
AC-A1,Čebulovica AC,Senožeče - Gabrk (p),72,136,42.1,0.4,04.06.2026 23:15:00,Normalen promet
AC-A1,Čebulovica AC,Senožeče - Gabrk (v),240,109,14.8,2.4,04.06.2026 23:15:00,Normalen promet
AC-A1,Čebulovica AC,Gabrk - Senožeče (p),0,0,0.0,0.0,04.06.2026 23:20:00,Ni podatka
AC-A1,Čebulovica AC,Gabrk - Senožeče (v),0,0,0.0,0.0,04.06.2026 23:20:00,Ni podatka
AC-A1,Čebulovica AC,Senožeče - Gabrk (p),48,150,94.5,0.2,04.06.2026 23:20:00,Normalen promet
AC-A1,Čebulovica AC,Senožeče - Gabrk (v),252,123,14.3,1.8,04.06.2026 23:20:00,Normalen promet
AC-A1,Čebulovica AC,Gabrk - Senožeče (p),0,0,0.0,0.0,04.06.2026 23:25:00,Ni podatka
AC-A1,Čebulovica AC,Gabrk - Senožeče (v),0,0,0.0,0.0,04.06.2026 23:25:00,Ni podatka
AC-A1,Čebulovica AC,Senožeče - Gabrk (p),12,172,107.2,0.1,04.06.2026 23:25:00,Normalen promet
AC-A1,Čebulovica AC,Senožeče - Gabrk (v),156,117,23.0,1.3,04.06.2026 23:25:00,Normalen promet
AC-A1,Čebulovica AC,Gabrk - Senožeče (p),0,0,0.0,0.0,04.06.2026 23:30:00,Ni podatka
AC-A1,Čebulovica AC,Gabrk - Senožeče (v),0,0,0.0,0.0,04.06.2026 23:30:00,Ni podatka
AC-A1,Čebulovica AC,Senožeče - Gabrk (p),48,139,84.8,0.3,04.06.2026 23:30:00,Normalen promet
AC-A1,Čebulovica AC,Senožeče - Gabrk (v),276,116,13.5,2.5,04.06.2026 23:30:00,Normalen promet
AC-A1,Čebulovica AC,Gabrk - Senožeče (p),0,0,0.0,0.0,04.06.2026 23:35:00,Ni podatka
AC-A1,Čebulovica AC,Gabrk - Senožeče (v),0,0,0.0,0.0,04.06.2026 23:35:00,Ni podatka
AC-A1,Čebulovica AC,Senožeče - Gabrk (p),24,144,138.9,0.1,04.06.2026 23:35:00,Normalen promet
AC-A1,Čebulovica AC,Senožeče - Gabrk (v),168,109,20.5,1.7,04.06.2026 23:35:00,Normalen promet
AC-A1,Čebulovica AC,Gabrk - Senožeče (p),0,0,0.0,0.0,05.06.2026 00:30:00,Ni podatka
AC-A1,Čebulovica AC,Gabrk - Senožeče (v),0,0,0.0,0.0,05.06.2026 00:30:00,Ni podatka
AC-A1,Čebulovica AC,Senožeče - Gabrk (p),12,133,233.2,0.1,05.06.2026 00:30:00,Normalen promet
AC-A1,Čebulovica AC,Senožeče - Gabrk (v),24,124,87.9,0.1,05.06.2026 00:30:00,Normalen promet
AC-A1,Čebulovica AC,Gabrk - Senožeče (p),0,0,0.0,0.0,05.06.2026 00:35:00,Ni podatka
AC-A1,Čebulovica AC,Gabrk - Senožeče (v),0,0,0.0,0.0,05.06.2026 00:35:00,Ni podatka
AC-A1,Čebulovica AC,Senožeče - Gabrk (p),12,133,391.3,0.1,05.06.2026 00:35:00,Normalen promet
AC-A1,Čebulovica AC,Senožeče - Gabrk (v),156,98,32.8,2.1,05.06.2026 00:35:00,Normalen promet
AC-A1,Čebulovica AC,Gabrk - Senožeče (p),0,0,0.0,0.0,05.06.2026 00:40:00,Ni podatka
AC-A1,Čebulovica AC,Gabrk - Senožeče (v),0,0,0.0,0.0,05.06.2026 00:40:00,Ni podatka
AC-A1,Čebulovica AC,Senožeče - Gabrk (p),12,128,202.2,0.1,05.06.2026 00:40:00,Normalen promet
AC-A1,Čebulovica AC,Senožeče - Gabrk (v),60,93,29.1,1.0,05.06.2026 00:40:00,Normalen promet
AC-A1,Čebulovica AC,Gabrk - Senožeče (p),0,0,0.0,0.0,05.06.2026 00:45:00,Ni podatka
AC-A1,Čebulovica AC,Gabrk - Senožeče (v),0,0,0.0,0.0,05.06.2026 00:45:00,Ni podatka
AC-A1,Čebulovica AC,Senožeče - Gabrk (p),24,142,150.9,0.1,05.06.2026 00:45:00,Normalen promet
AC-A1,Čebulovica AC,Senožeče - Gabrk (v),36,124,152.4,0.2,05.06.2026 00:45:00,Normalen promet
AC-A1,Čebulovica AC,Gabrk - Senožeče (p),0,0,0.0,0.0,05.06.2026 00:50:00,Ni podatka
AC-A1,Čebulovica AC,Gabrk - Senožeče (v),0,0,0.0,0.0,05.06.2026 00:50:00,Ni podatka
AC-A1,Čebulovica AC,Senožeče - Gabrk (p),12,122,350.1,0.1,05.06.2026 00:50:00,Normalen promet
AC-A1,Čebulovica AC,Senožeče - Gabrk (v),72,104,47.4,1.1,05.06.2026 00:50:00,Normalen promet
